Lesson	Type	No	Name	Sentences_Kor	Sentences_Phon	Sentences_Viet	FileAudio	FileImage
Lesson1	Subject	0	Subj	안녕하세요? (Xin chào?)				
Lesson1	Vocabulary	1	Struc	Quốc gia (국가)				
Lesson1	Vocabulary	1.1	Exam	한국	han-guk	Hàn Quốc	https://luandai123.github.io/THTH/L1Vo1.1.mp3	https://luandai123.github.io/THTH/L1Vo1.1.png
Lesson1	Vocabulary	1.1.ex	Exam	저는 한국 사람입니다.	cho-nưn han-guk ssa-ra-mim-ni-ta.	Tôi là người Hàn Quốc.	https://luandai123.github.io/THTH/L1Vo1.1.ex.mp3	
Lesson1	Vocabulary	1.1.tip	Def			[MẸO] "한(韓)" = Hàn + "국(國)" = quốc → Hàn Quốc. Hán-Việt giống hệt tiếng Việt!		
Lesson1	Vocabulary	1.2	Exam	베트남	bê-thư-nam	Việt Nam	https://luandai123.github.io/THTH/L1Vo1.2.mp3	https://luandai123.github.io/THTH/L1Vo1.2.png
Lesson1	Vocabulary	1.2.ex	Exam	저는 베트남 사람입니다.	cho-nưn pê-thư-nam sa-ra-mim-ni-ta.	Tôi là người Việt Nam.	https://luandai123.github.io/THTH/L1Vo1.2.ex.mp3	
Lesson1	Vocabulary	1.2.tip	Def			[MẸO] "베트남" là phiên âm trực tiếp từ "Vietnam" — đọc gần giống tiếng Việt!		
Lesson1	Vocabulary	1.3	Exam	말레이시아	mal-rê-i-si-a	Malaysia	https://luandai123.github.io/THTH/L1Vo1.3.mp3	https://luandai123.github.io/THTH/L1Vo1.3.png
Lesson1	Vocabulary	1.3.ex	Exam	마이 씨는 말레이시아 사람입니다.	ma-i sxi-nưn mal-rê-i-si-a sa-ra-mim-ni-ta.	Chị Mai là người Malaysia.	https://luandai123.github.io/THTH/L1Vo1.3.ex.mp3	
Lesson1	Vocabulary	1.3.tip	Def			[MẸO] "말레이시아" phiên âm từ "Malaysia" — đọc gần giống tiếng Anh.		
Lesson1	Vocabulary	1.4	Exam	일본	il-pôn	Nhật Bản	https://luandai123.github.io/THTH/L1Vo1.4.mp3	https://luandai123.github.io/THTH/L1Vo1.4.png
Lesson1	Vocabulary	1.4.ex	Exam	아키라 씨는 일본 사람입니다.	a-khi-ra sxi-nưn il-pôn sa-ra-mim-ni-ta.	Anh Akira là người Nhật Bản.	https://luandai123.github.io/THTH/L1Vo1.4.ex.mp3	
Lesson1	Vocabulary	1.4.tip	Def			[MẸO] "일(日)" = Nhật + "본(本)" = Bản → Nhật Bản. Hán-Việt giống nhau!		
Lesson1	Vocabulary	1.5	Exam	중국	chung-guk	Trung Quốc	https://luandai123.github.io/THTH/L1Vo1.5.mp3	https://luandai123.github.io/THTH/L1Vo1.5.png
Lesson1	Vocabulary	1.5.ex	Exam	리양 씨는 중국 사람입니다.	ri-yang sxi-nưn chung-guk ssa-ra-mim-ni-ta.	Chị Lý Dương là người Trung Quốc.	https://luandai123.github.io/THTH/L1Vo1.5.ex.mp3	
Lesson1	Vocabulary	1.5.tip	Def			[MẸO] "중(中)" = Trung + "국(國)" = Quốc → Trung Quốc. Y hệt tiếng Việt!		
Lesson1	Vocabulary	1.6	Exam	태국	thê-guk	Thái Lan	https://luandai123.github.io/THTH/L1Vo1.6.mp3	https://luandai123.github.io/THTH/L1Vo1.6.png
Lesson1	Vocabulary	1.6.ex	Exam	저는 태국 사람이 아닙니다.	cho-nưn thê-guk sa-ra-mi a-nim-ni-ta.	Tôi không phải người Thái Lan.	https://luandai123.github.io/THTH/L1Vo1.6.ex.mp3	
Lesson1	Vocabulary	1.6.tip	Def			[MẸO] "태국(泰國)" = Thái Quốc (Hán-Việt) → Thái Lan. Đọc gần giống!		
Lesson1	Vocabulary	1.7	Exam	몽골	mông-gôl	Mông Cổ	https://luandai123.github.io/THTH/L1Vo1.7.mp3	https://luandai123.github.io/THTH/L1Vo1.7.png
Lesson1	Vocabulary	1.7.ex	Exam	저 사람은 몽골 사람입니다.	cho sa-ra-mưn mông-gôl sa-ra-mim-ni-ta.	Người kia là người Mông Cổ.	https://luandai123.github.io/THTH/L1Vo1.7.ex.mp3	
Lesson1	Vocabulary	1.7.tip	Def			[MẸO] "몽골" phiên âm gần giống "Mông Cổ" trong tiếng Việt — rất dễ nhớ!		
Lesson1	Vocabulary	1.8	Exam	인도네시아	in-tô-nê-si-a	Indonesia	https://luandai123.github.io/THTH/L1Vo1.8.mp3	https://luandai123.github.io/THTH/L1Vo1.8.png
Lesson1	Vocabulary	1.8.ex	Exam	이 사람은 인도네시아 사람입니다.	i sa-ra-mưn in-tô-nê-si-a sa-ra-mim-ni-ta.	Người này là người Indonesia.	https://luandai123.github.io/THTH/L1Vo1.8.ex.mp3	
Lesson1	Vocabulary	1.8.tip	Def			[MẸO] "인도네시아" phiên âm từ "Indonesia" — gần giống tiếng Anh/Việt.		
Lesson1	Vocabulary	1.9	Exam	필리핀	phil-ri-phin	Philippines	https://luandai123.github.io/THTH/L1Vo1.9.mp3	https://luandai123.github.io/THTH/L1Vo1.9.png
Lesson1	Vocabulary	1.9.ex	Exam	제 친구는 필리핀 사람입니다.	chê trin-gu-nưn phil-ri-phin sa-ra-mim-ni-ta.	Bạn tôi là người Philippines.	https://luandai123.github.io/THTH/L1Vo1.9.ex.mp3	
Lesson1	Vocabulary	1.9.tip	Def			[MẸO] "필리핀" phiên âm từ "Philippines" — đọc lướt nhanh là ra!		
Lesson1	Vocabulary	1.10	Exam	인도	in-tô	Ấn Độ	https://luandai123.github.io/THTH/L1Vo1.10.mp3	https://luandai123.github.io/THTH/L1Vo1.10.png
Lesson1	Vocabulary	1.10.ex	Exam	이 분은 인도 사람입니다.	i pu-nưn in-tô sa-ra-mim-ni-ta.	Vị này là người Ấn Độ.	https://luandai123.github.io/THTH/L1Vo1.10.ex.mp3	
Lesson1	Vocabulary	1.10.tip	Def			[MẸO] "인도(印度)" = Ấn Độ (Hán-Việt). Đọc là nhớ ngay!		
Lesson1	Vocabulary	1.11	Exam	영국	yong-guk	Anh	https://luandai123.github.io/THTH/L1Vo1.11.mp3	https://luandai123.github.io/THTH/L1Vo1.11.png
Lesson1	Vocabulary	1.11.ex	Exam	마이클 씨는 영국 사람입니다.	ma-i-khưl sxi-nưn yong-guk ssa-ra-mim-ni-ta.	Anh Michael là người Anh.	https://luandai123.github.io/THTH/L1Vo1.11.ex.mp3	
Lesson1	Vocabulary	1.11.tip	Def			[MẸO] "영(英)" = Anh (Hán-Việt) + "국(國)" = quốc → Anh Quốc. Dễ nhớ!		
Lesson1	Vocabulary	1.12	Exam	독일	tô-gil	Đức	https://luandai123.github.io/THTH/L1Vo1.12.mp3	https://luandai123.github.io/THTH/L1Vo1.12.png
Lesson1	Vocabulary	1.12.ex	Exam	마리아 씨는 독일 사람입니다.	ma-ri-a sxi-nưn tô-gil sa-ra-mim-ni-ta.	Chị Maria là người Đức.	https://luandai123.github.io/THTH/L1Vo1.12.ex.mp3	
Lesson1	Vocabulary	1.12.tip	Def			[MẸO] "독일" phiên âm từ "Deutsch" — nghe "đọc-in" liên tưởng người Đức đọc sách!		
Lesson1	Vocabulary	1.13	Exam	프랑스	phư-rang-sư	Pháp	https://luandai123.github.io/THTH/L1Vo1.13.mp3	https://luandai123.github.io/THTH/L1Vo1.13.png
Lesson1	Vocabulary	1.13.ex	Exam	줄리앙 씨는 프랑스 사람입니다.	chul-ri-ang sxi-nưn phư-rang-sư sa-ra-mim-ni-ta.	Anh Julien là người Pháp.	https://luandai123.github.io/THTH/L1Vo1.13.ex.mp3	
Lesson1	Vocabulary	1.13.tip	Def			[MẸO] "프랑스" nghe như "France" đọc kiểu Hàn — nhắm mắt đọc "France" là ra!		
Lesson1	Vocabulary	1.14	Exam	러시아	ro-si-a	Nga	https://luandai123.github.io/THTH/L1Vo1.14.mp3	https://luandai123.github.io/THTH/L1Vo1.14.png
Lesson1	Vocabulary	1.14.ex	Exam	이반 씨는 러시아 사람입니다.	i-pan sxi-nưn ro-si-a sa-ra-mim-ni-ta.	Anh Ivan là người Nga.	https://luandai123.github.io/THTH/L1Vo1.14.ex.mp3	
Lesson1	Vocabulary	1.14.tip	Def			[MẸO] "러시아" phiên âm từ "Russia" — đọc gần giống tiếng Anh.		
Lesson1	Vocabulary	2	Struc	Nghề nghiệp (직업)				
Lesson1	Vocabulary	2.1	Exam	학생	hak-ssêng	Học sinh, sinh viên	https://luandai123.github.io/THTH/L1Vo2.1.mp3	https://luandai123.github.io/THTH/L1Vo2.1.png
Lesson1	Vocabulary	2.1.ex	Exam	저는 학생입니다.	cho-nưn hak-ssê-ngim-ni-ta.	Tôi là học sinh.	https://luandai123.github.io/THTH/L1Vo2.1.ex.mp3	
Lesson1	Vocabulary	2.1.tip	Def			[MẸO] "학생(學生)" = học sinh (Hán-Việt). Đọc là nhớ ngay!		
Lesson1	Vocabulary	2.2	Exam	선생님	son-sêng-nim	Giáo viên	https://luandai123.github.io/THTH/L1Vo2.2.mp3	https://luandai123.github.io/THTH/L1Vo2.2.png
Lesson1	Vocabulary	2.2.ex	Exam	조민재 씨는 선생님입니다.	chô-min-chê sxi-nưn son-sêng-ni-mim-ni-ta.	Anh Cho Min Jae là giáo viên.	https://luandai123.github.io/THTH/L1Vo2.2.ex.mp3	
